peakSystemBytes                         => peak_system_bytes
pemData                                 => pem_data
pemData1                                => pem_data1
pemData2                                => pem_data2
pemKey                                  => pem_key
pemPckCertificate                       => pem_pck_certificate
pemPckCertificateSize                   => pem_pck_certificate_size
pemPublicKey                            => pem_public_key
pemSize                                 => pem_size
pemSize1                                => pem_size1
pemSize2                                => pem_size2
pkeyPrivate                             => pkey_private
pkeyPublic                              => pkey_public
ppvObject                               => ppv_object
privateKey                              => private_key
privateKeyWritePEMCallback              => private_key_write_pem_callback
procData                                => proc_data
productID                               => product_id
protocolVersion                         => protocol_version
ptrIn                                   => ptr_in
ptrOut                                  => ptr_out
pubKey                                  => pub_key
publicKey                               => public_key
publicKey1                              => public_key1
publicKey2                              => public_key2
q1Out                                   => q1_out
q1OutSize                               => q1_out_size
q2Out                                   => q2_out
q2OutSize                               => q2_out_size
qeAuthData                              => qe_auth_data
qeCertData                              => qe_cert_data
qeReportBody                            => qe_report_body
qeReportBodySignature                   => qe_report_body_signature
quoteAuthData                           => quote_auth_data
quoteBuffer                             => quote_buffer
quoteBufferSize                         => quote_buffer_size
quoteEnd                                => quote_end
quoteSize                               => quote_size
quoteSize64                             => quote_size64
quoteType                               => quote_type
quotedPublicKey                         => quoted_public_key
rBytes                                  => r_bytes
rData                                   => r_data
rSP                                     => r_sp
rSize                                   => r_size
rangeEnd                                => range_end
rangeStart                              => range_start
readWriteLock                           => read_write_lock
readersAndWriters                       => readers_and_writers
recursionDepth                          => recursion_depth
recursionsLeft                          => recursions_left
relocData                               => reloc_data
relocSize                               => reloc_size
reportAESCMAC                           => report_aescmac
reportBody                              => report_body
reportBuffer                            => report_buffer
reportBufferSize                        => report_buffer_size
reportData                              => report_data
reportDataSize                          => report_data_size
reportOut                               => report_out
reportSize                              => report_size
requiredSize                            => required_size
resultOcall                             => result_ocall
retVal                                  => ret_val
returnType                              => return_type
returnValue                             => return_value
returnValuePtr                          => return_value_ptr
rootCert                                => root_cert
rootKey                                 => root_key
rootPublicKey                           => root_public_key
rotateEnclaves                          => rotate_enclaves
rptSize                                 => rpt_size
rsaPrivate                              => rsa_private
rsaPublic                               => rsa_public
runningLength                           => running_length
runningSrc                              => running_src
rwArgsLock                              => rw_args_lock
rwLock                                  => rw_lock
sBytes                                  => s_bytes
sData                                   => s_data
sSize                                   => s_size
s_registerResult                        => s_register_result
safeArg                                 => safe_arg
sealPolicy                              => seal_policy
secIndex                                => sec_index
secondKeyBuffer                         => second_key_buffer
secondKeyBufferSize                     => second_key_buffer_size
sectionData                             => section_data
sectionName                             => section_name
sectionSize                             => section_size
securityVersion                         => security_version
segmentsSize                            => segments_size
setjmpResult                            => setjmp_result
sgxKey                                  => sgx_key
sgxKeyRequest                           => sgx_key_request
sgxQuote                                => sgx_quote
sgxReport                               => sgx_report
sgxReportSize                           => sgx_report_size
sgxTargetInfo                           => sgx_target_info
sha256Ctx                               => sha256_ctx
sigAction                               => sig_action
sigData                                 => sig_data
sigInfo                                 => sig_info
sigLen                                  => sig_len
sigNum                                  => sig_num
sigRLSize                               => sig_rl_size
signatureRevocationList                 => signature_revocation_list
signatureRevocationListSize             => signature_revocation_list_size
signatureSize                           => signature_size
signedType                              => signed_type
sizeOut                                 => size_out
sizeSettings                            => size_settings
sk_X509_new                             => sk_x509_new
sk_X509_new_null                        => sk_x509_new_null
sk_X509_num                             => sk_x509_num
sk_X509_pop_free                        => sk_x509_pop_free
sk_X509_push                            => sk_x509_push
sk_X509_value                           => sk_x509_value
stackSize                               => stack_size
standbyHost                             => standby_host
startAddr                               => start_addr
strIn                                   => str_in
strOut                                  => str_out
strSize                                 => str_size
strdupOk                                => strdup_ok
strucTI                                 => struc_ti
structIn                                => struct_in
structOut                               => struct_out
structPtr                               => struct_ptr
structSize                              => struct_size
structTI                                => struct_ti
systemBytes                             => system_bytes
tamperedTargetInfo                      => tampered_target_info
targetInfo                              => target_info
targetInfoSize                          => target_info_size
tcbInfoJson                             => tcb_info_json
tcbInfoJsonSize                         => tcb_info_json_size
tcsAddress                              => tcs_address
tempRegion                              => temp_region
testEh                                  => test_eh
thirdKeyBuffer                          => third_key_buffer
thirdKeyBufferSize                      => third_key_buffer_size
threadCount                             => thread_count
threadData                              => thread_data
threadDataAddr                          => thread_data_addr
threadLocalDynamic                      => thread_local_dynamic
threadLocalStatic                       => thread_local_static
tmpKeyRequest                           => tmp_key_request
tmpSgxKey                               => tmp_sgx_key
tmpTag                                  => tmp_tag
uniqueID                                => unique_id
unsafeArg                               => unsafe_arg
unsignedType                            => unsigned_type
userData_                               => user_data_
vectoredHandler                         => vectored_handler
wireType                                => wire_type
xBytes                                  => x_bytes
xData                                   => x_data
xSize                                   => x_size
yBytes                                  => y_bytes
yData                                   => y_data
ySize                                   => y_size
